time_s,temp_c,temp_ema,vnode,fan_duty,heater_duty,setpoint,state
1186.3451,-21.3154,29.8017,1.0396,0.0000,0.8000,35.0000,?
1187.3451,148.7780,32.1813,0.0048,1.0000,0.0000,35.0000,?
1189.3451,112.7556,35.5142,0.0105,1.0000,0.0000,35.0000,?
1196.3451,11.2363,35.5142,0.2538,1.0000,0.0000,35.0000,?
1204.3451,34.3166,35.5142,0.1040,1.0000,0.0000,35.0000,?
1210.3451,35.1876,35.5142,0.1007,1.0000,0.0000,35.0000,?
1211.3451,34.9669,35.5142,0.1015,0.0000,0.0000,35.0000,?
1213.3451,34.5314,35.5142,0.1032,0.0000,0.0000,35.0000,?
1221.3451,-39.5256,35.5142,2.1839,0.0000,0.0000,35.0000,?
1229.3451,-23.8286,35.5142,1.1596,0.0000,0.0000,35.0000,?
1236.3451,-23.3092,35.5142,1.1338,0.0000,0.0000,35.0000,?
1237.3451,-22.9792,35.5142,1.1177,0.0000,0.0000,35.0000,?
1238.3451,-23.6188,-23.6188,1.1492,0.0000,0.8000,35.0000,?
1246.3451,-24.0685,-23.6971,1.1717,0.0000,0.8000,35.0000,?
1254.3451,-43.1199,-24.3482,2.4748,0.0000,0.8000,35.0000,?
1261.3451,-26.4732,-24.6791,1.2990,0.0000,0.8000,35.0000,?
1263.3451,-6.7685,-24.3321,0.5472,0.0000,0.8000,35.0000,?
1270.3451,36.5566,-16.2709,0.0959,0.0000,0.8000,35.0000,?
1271.3451,37.2715,-15.2001,0.0935,0.0000,0.8000,35.0000,?
1279.3451,-35.2801,-16.7682,1.8623,0.0000,0.8000,35.0000,?
1280.3480,36.7926,-15.6969,0.0951,0.0000,0.8000,35.0000,?
1288.3451,37.2715,-7.8195,0.0935,0.0000,0.8000,35.0000,?
1289.2981,37.2715,-6.9177,0.0935,0.0000,0.8000,35.0000,?
